uri,uriTitulacion,ou_asignatura,ou_caracterAsignatura,ou_materiaAsignatura,ou_numeroMatriculados,ou_moduloAsignatura,ou_asignatura_code,areasConocimiento,ou_asignatura_courseTitle,ou_asignatura_ects,ou_asignatura_temporalidadAsignatura,ou_cursoAcademico
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/401676-0518-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/MasterOficial/0518-mu-en-ingenieria-agronomica,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/401676-ingenieria-de-alojamientos-ganaderos-2019-2020,OPTATIVA,TECNOLOGÍA Y PLANIFICACIÓN DEL MEDIO RURAL,0,OPTATIVIDAD,401676,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/500-ingenieria-agroforestal,INGENIERÍA DE ALOJAMIENTOS GANADEROS,6,Primer Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/502755-1010-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1010-grado-en-bioquimica,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/502755-genoma-humano-y-patologias-asociadas-2019-2020,OPTATIVA,GENOMA HUMANO Y PATOLOGÍAS ASOCIADAS,9,OPTATIVAS,502755,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/060-bioquimica-y-biologia-molecular,GENOMA HUMANO Y PATOLOGÍAS ASOCIADAS,6,Segundo Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/401121-1518-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/MasterOficial/1518-mu-en-investigacion-en-ingenieria-y-arquitectura,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/401121-iniciacion-a-la-investigacion-en-arquitecturas-paralelas-para-el-tratamiento-de-imagenes-2019-2020,OPTATIVA,INICIACIÓN A LA INVESTIGACIÓN EN ARQUITECTURAS PARALELAS PARA EL TRATAMIENTO DE IMÁGENES,1,ESPECÍFICO EN TECNOLOGÍAS INFORMÁTICAS Y DE COMUNICACIONES,401121,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/250-electronica,INICIACIÓN A LA INVESTIGACIÓN EN ARQUITECTURAS PARALELAS PARA EL TRATAMIENTO DE IMÁGENES,6,Segundo Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/401489-0823-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/MasterOficial/0823-mu-en-ingenieria-industrial,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/401489-plantas-e-instalaciones-industriales-2019-2020,OBLIGATORIA,CONSTRUCCIONES E INSTALACIONES INDUSTRIALES,14,INSTALACIONES, PLANTAS Y CONSTRUCCIONES COMPLEMENTARIAS,401489,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/605-mecanica-de-medios-continuos-y-t-de-estructuras  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/720-proyectos-de-ingenieria,PLANTAS E INSTALACIONES INDUSTRIALES,6,Primer Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/500713-0425-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0425-grado-en-filologia-clasica,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/500713-textos-de-la-literatura-espanola-del-renacimiento-2019-2020,OPTATIVA,OPTATIVAS,0,OPTATIVO,500713,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/583-literatura-espanola,TEXTOS DE LA LITERATURA ESPAÑOLA DEL RENACIMIENTO,6,Primer Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/401670-0518-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/MasterOficial/0518-mu-en-ingenieria-agronomica,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/401670-higiene-en-la-produccion-animal-2019-2020,OBLIGATORIA,TECNOLOGÍAS AVANZADAS EN LA PRODUCCION ANIMAL,6,TECNOLOGÍA DE LA PRODUCCION VEGETAL Y ANIMAL,401670,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/700-produccion-animal,HIGIENE EN LA PRODUCCIÓN ANIMAL,5,Segundo Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/502062-1623-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1623-grado-en-ingenieria-civil-construcciones-civiles,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/502062-topografia-en-obra-civil-2019-2020,OBLIGATORIA,TOPOGRAFÍA,7,FORMACIÓN TECNOLÓGICA ESPECÍFICA. CONSTRUCCIONES CIVILES,502062,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/505-ingenieria-cartografica-geodesia-y-fotogrametria,TOPOGRAFÍA EN OBRA CIVIL,6,Segundo Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/500133-0305-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0305-grado-en-administracion-y-gestion-publica,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/500133-economia-politica-2019-2020,FORMACIÓN BÁSICA,ECONOMÍA,9,FORMACIÓN BÁSICA,500133,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/225-economia-aplicada,ECONOMÍA POLÍTICA,6,Primer Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/501579-0716-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0716-grado-en-educacion-infantil-caceres,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/501579-aspectos-didacticos-y-organizativos-de-la-educacion-infantil-2019-2020,FORMACIÓN BÁSICA,PROCESOS EDUCATIVOS, APRENDIZAJE Y DESARROLLO DE LA PERSONALIDAD,108,FORMACIÓN BÁSICA,501579,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/215-didactica-y-organizacion-escolar,ASPECTOS DIDÁCTICOS Y ORGANIZATIVOS DE LA EDUCACIÓN INFANTIL,6,Segundo Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/500055-1407-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1407-grado-en-administracion-y-direccion-de-empresas-caceres,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/500055-derecho-mercantil-2019-2020,OBLIGATORIA,DERECHO DE LA EMPRESA,101,MARCO JURÍDICO Y FISCALIDAD,500055,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/165-derecho-mercantil,DERECHO MERCANTIL,6,Primer Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/401843-0215-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/MasterOficial/0215-mu-en-investigacion-en-biomedicina-y-salud,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/401843-trabajo-de-fin-de-master-2019-2020,TRABAJO DE FIN DE MÁSTER,TRABAJO FIN DE MÁSTER,4,FINAL,401843,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/027-anatomia-y-embriologia-humana  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/265-estadistica-e-investigacion-operativa  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/630-microbiologia  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/830-traumatologia-y-ortopedia,TRABAJO DE FIN DE MÁSTER,12,Indefinida,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/500270-0903-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0903-grado-en-ciencias-de-la-actividad-fisica-y-del-deporte,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/500270-fisiologia-humana-2019-2020,FORMACIÓN BÁSICA,FISIOLOGÍA,95,FUNDAMENTOS BIOLÓGICOS Y MECÁNICOS DE LA MOTRICIDAD HUMANA,500270,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/410-fisiologia,FISIOLOGÍA HUMANA,6,Primer Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/502778-1306-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1306-grado-en-terapia-ocupacional,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/502778-practicum-2019-2020,PRACTICAS EXTERNAS,PRÁCTICUM,0,CURSO DE ADAPTACIÓN,502778,,PRÁCTICUM,12,Segundo Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/401629-1518-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/MasterOficial/1518-mu-en-investigacion-en-ingenieria-y-arquitectura,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/401629-iniciacion-a-la-investigacion-en-teoria-de-la-senal-y-comunicaciones-2019-2020,OPTATIVA,INICIACIÓN A LA INVESTIGACIÓN EN TEORÍA DE LA SEÑAL Y COMUNICACIONES,0,ESPECÍFICO EN TECNOLOGÍAS INFORMÁTICAS Y DE COMUNICACIONES,401629,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/800-teoria-de-la-senal-y-comunicaciones,INICIACIÓN A LA INVESTIGACIÓN EN TEORÍA DE LA SEÑAL Y COMUNICACIONES,6,Segundo Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/500614-0429-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0429-grado-en-historia-del-arte-y-patrimonio-historico-artistico,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/500614-historia-de-europa-2019-2020,FORMACIÓN BÁSICA,HISTORIA,20,FORMACIÓN BÁSICA,500614,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/450-historia-contemporanea,HISTORIA DE EUROPA,6,Primer Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/500656-0427-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0427-grado-en-geografia-y-ordenacion-del-territorio,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/500656-textos-fundamentales-de-la-literatura-espanola-2019-2020,FORMACIÓN BÁSICA,LITERATURA,9,FORMACIÓN BÁSICA,500656,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/583-literatura-espanola,TEXTOS FUNDAMENTALES DE LA LITERATURA ESPAÑOLA,6,Primer Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/500237-0121-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0121-grado-en-ciencias-ambientales,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/500237-biologia-vegetal-manejo-y-conservacion-de-los-vegetales-2019-2020,OBLIGATORIA,GESTIÓN Y CONSERVACIÓN DE LA BIODIVERSIDAD,15,GESTIÓN Y CONSERVACIÓN DEL MEDIO NATURAL,500237,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/063-botanica  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/412-fisiologia-vegetal,BIOLOGÍA VEGETAL: MANEJO Y CONSERVACIÓN DE LOS VEGETALES,6,Segundo Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/500842-0427-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0427-grado-en-geografia-y-ordenacion-del-territorio,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/500842-tecnicas-y-reconocimiento-de-campo-i-2019-2020,OBLIGATORIA,ORDENACIÓN Y GESTIÓN DEL TERRITORIO Y DE LOS RECURSOS,6,CONTENIDOS FUNDAMENTALES DE GEOGRAFÍA,500842,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/010-analisis-geografico-regional  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/430-geografia-fisica  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/435-geografia-humana,TÉCNICAS Y RECONOCIMIENTO DE CAMPO I,6,Segundo Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/500392-0390-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0390-pceo-derecho-y-administracion-y-direccion-de-empresas,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/500392-derecho-reales-2019-2020,OBLIGATORIA,,32,,500392,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/130-derecho-civil,DERECHO REALES,6,Primer Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/500120-1209-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1209-grado-en-administracion-y-direccion-de-empresas-plasencia,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/500120-derecho-del-consumo-2019-2020,OPTATIVA,DERECHO,1,OPTATIVIDAD,500120,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/165-derecho-mercantil,DERECHO DEL CONSUMO,6,Primer Semestre,2019-2020
