uri,aiiso_code,foaf_name
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/625-metodos-de-investigacion-y-diagnostico-en-educac,625,MÉTODOS DE INVESTIGACIÓN Y DIAGNÓSTICO EN EDUCAC.
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/680-personalidad-evaluacion-y-tratamiento-psicologic,680,PERSONALIDAD, EVALUACIÓN Y TRATAMIENTO PSICOLÓGIC.
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/005-algebra,005,ÁLGEBRA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/010-analisis-geografico-regional,010,ANÁLISIS GEOGRÁFICO REGIONAL
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/015-analisis-matematico,015,ANÁLISIS MATEMÁTICO
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/020-anatomia-patologica,020,ANATOMÍA PATOLÓGICA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/025-anatomia-y-anatomia-patologica-comparada,025,ANATOMÍA Y ANATOMÍA PATOLÓGICA COMPARADA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/027-anatomia-y-embriologia-humana,027,ANATOMÍA Y EMBRIOLOGÍA HUMANA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/030-antropologia-social,030,ANTROPOLOGÍA SOCIAL
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/033-arqueologia,033,ARQUEOLOGÍA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/035-arquitectura-y-tecnologia-de-computadores,035,ARQUITECTURA Y TECNOLOGÍA DE COMPUTADORES
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/040-biblioteconomia-y-documentacion,040,BIBLIOTECONOMÍA Y DOCUMENTACIÓN
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/050-biologia-celular,050,BIOLOGÍA CELULAR
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/060-bioquimica-y-biologia-molecular,060,BIOQUÍMICA Y BIOLOGÍA MOLECULAR
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/063-botanica,063,BOTÁNICA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/065-ciencias-de-materiales-e-ingenieria-metalurgica,065,CIENCIAS DE MATERIALES E INGENIERÍA METALÚRGICA
