uri,ou_secretarioDepartamento,ou_directorDepartamento,schema_email,aiiso_code,areas,foaf_name
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y060-ingenieria-medio-agronomico-y-forestal,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/c89dd08d06f87fe06fe700f4771d4e0f-abelardo-garcia-martin,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/6b4aae5dced11e3d1e405789d5c76e8d-pablo-vidal-lopez,dirdptoiayf@unex.es,Y060,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/500-ingenieria-agroforestal  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/705-produccion-vegetal,INGENIERÍA MEDIO AGRONÓMICO Y FORESTAL
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y003-ciencias-de-la-antiguedad,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/73f577d50d879288e3eb124b394b6a13-pedro-juan-galan-sanchez,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/1efb7ce1b8f408eb9af514bd8a4a2a87-luis-maria-merino-jerez,dirdptocant@unex.es,Y003,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/340-filologia-griega  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/355-filologia-latina  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/445-historia-antigua,CIENCIAS DE LA ANTIGÜEDAD
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y055-informacion-y-comunicacion,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/42fe07a16ca52d6a6d07f05c5ee6e8b3-felipe-francisco-zapico-alonso,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/f700b2d07012ea5de5e1744154bcf4aa-jorge-caldera-serrano,dirdptoinco@unex.es,Y055,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/040-biblioteconomia-y-documentacion  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/105-comunicacion-audiovisual-y-publicidad  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/675-periodismo,INFORMACIÓN Y COMUNICACIÓN
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y008-didactica-de-las-ciencias-experimentales-y-matematicas,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/f04d6ccef4075e7f735743aeeccc8197-maria-rocio-esteban-gallego,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/9cd689c6537e9157b0278692a643cd6c-ricardo-francisco-luengo-gonzalez,dirdptodcem@unex.es,Y008,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/200-didactica-de-las-matematicas  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/205-didactica-de-las-ciencias-experimentales,DIDÁCTICA DE LAS CIENCIAS EXPERIMENTALES Y MATEMÁTICAS
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y018-filologia-hispanica-y-linguistica-general,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/17cb1f39b4d29d47660e9cb6997753af-miguel-angel-lama-hernandez,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/2a41d57ebf5c8d1315a0ed17ad792c35-carmen-galan-rodriguez,dirdptofihi@unex.es,Y018,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/567-lengua-espanola  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/575-linguistica-general  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/583-literatura-espanola,FILOLOGÍA HISPÁNICA Y LINGÜÍSTICA GENERAL
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y056-ingenieria-sistemas-informaticos-y-telematicos,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/0478efadcb492fd1cfb7ef9743d9362c-lorenzo-manuel-martinez-bravo,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/6946cfa85b92ca61715eb3d99f33a641-pedro-jose-clemente-martin,dirdptoisit@unex.es,Y056,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/560-ingenieria-telematica  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/570-lenguajes-y-sistemas-informaticos,INGENIERÍA SISTEMAS INFORMÁTICOS Y TELEMÁTICOS
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y064-sanidad-animal,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/5118855d42f44dbc7feb2a3787f9d85e-marcos-perez-lopez,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/b917bd51f3c756a52b60add2970eddb2-juan-manuel-alonso-rodriguez,dirdptosani@unex.es,Y064,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/660-parasitologia  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/773-sanidad-animal  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/807-toxicologia,SANIDAD ANIMAL
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y048-ingenieria-electrica-electronica-y-automatica,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/0e58e34246ff018c90406082a6557bf4-carlos-javier-garcia-orellana,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/a98c7f76dfc26d26fb7451ca579f2173-juan-francisco-duque-carrillo,dirdptoieea@unex.es,Y048,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/250-electronica  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/520-ingenieria-de-sistemas-y-automatica  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/535-ingenieria-electrica  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/785-tecnologia-electronica,INGENIERÍA ELÉCTRICA, ELECTRÓNICA Y AUTOMÁTICA
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y063-ingenieria-quimica-y-quimica-fisica,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/75f54b82b31a336010866c06909e24d7-juan-luis-acero-diaz,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/c009b8b7508e2d65625c614d216ba9e1-pedro-modesto-alvarez-pena,dirdptoiqqf@unex.es,Y063,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/555-ingenieria-quimica  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/755-quimica-fisica,INGENIERÍA QUÍMICA Y QUÍMICA FÍSICA
http://opendata.unex.es/recurso/educacion/universidad/Departamento/Y062-quimica-organica-e-inorganica,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/986a07cc3aace272d5cddb3662842afa-francisco-luna-giles,http://opendata.unex.es/recurso/educacion/universidad/personal/PDI/3a8ed9cac6c62bce779dacf944b1738f-ignacio-lopez-coca-martin,dirdptoqoin@unex.es,Y062,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/760-quimica-inorganica  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/765-quimica-organica,QUÍMICA ORGÁNICA E INORGÁNICA
