"ID_UNIVERSIDAD","ID_TITULACION","NOMBRE_TITULACION","NOMBRE_TIPO_TITULACION"
"057","2500093","Graduado o Graduada en Ingeniería de Edificación","Grado"
"037","2500094","Graduado o Graduada en Sociología","Grado"
"037","2500095","Graduado o Graduada en Terapia Ocupacional","Grado"
"038","2500096","Graduado o Graduada en Bellas Artes","Grado"
"022","2500097","Graduado o Graduada en Física","Grado"
"043","2500098","Graduado o Graduada en Publicidad y Relaciones Púb","Grado"
"043","2500099","Graduado o Graduada en Medicina","Grado"
"044","2500100","Graduado o Graduada en Historia","Grado"
"044","2500101","Graduado o Graduada en Historia del Arte","Grado"
"044","2500102","Graduado o Graduada en Ciencia y Salud Animal","Grado"
"062","2500105","Graduado o Graduada en Medicina","Grado"
"054","2500106","Graduado o Graduada en Psicología","Grado"
"039","2500107","Graduado o Graduada en Humanidades","Grado"
"039","2500108","Graduado o Graduada en Comunicación Audiovisual","Grado"
"039","2500109","Graduado o Graduada en Publicidad y Relaciones Púb","Grado"
"039","2500109","Graduado o Graduada en Publicidad y Relaciones Púb","Grado"
"039","2500110","Graduado o Graduada en Biologia Humana","Grado"
"039","2500110","Graduado o Graduada en Biologia Humana por la Univ","Grado"
"041","2500111","Graduado o Graduada en Administración y Dirección ","Grado"
"041","2500112","Graduado o Graduada en Cine y Televisión","Grado"
"041","2500113","Graduado o Graduada en Dirección de Empresas - BBA","Grado"
"041","2500114","Graduado o Graduada en Periodismo","Grado"
"042","2500116","Graduado o Graduada en Historia","Grado"
"042","2500117","Graduado o Graduada en Historia del Arte","Grado"
"036","2500118","Graduado o Graduada en Relaciones Laborales y Empl","Grado"
"036","2500119","Graduado o Graduada en Economía","Grado"
"036","2500120","Graduado o Graduada en Humanidades","Grado"
"061","2500121","Graduado o Graduada en Administración y Dirección ","Grado"
"074","2500122","Graduado o Graduada en Administración y Dirección ","Grado"
"066","2500123","Graduado o Graduada en Nutrición Humana y Dietétic","Grado"
"066","2500123","Graduado o Graduada en Nutrición Humana y Dietétic","Grado"
"012","2500124","Graduado o Graduada en Comunicación Audiovisual","Grado"
"053","2500126","Graduado o Graduada en Fundamentos de la Arquitect","Grado"
"053","2500126","Graduado o Graduada en Arquitectura","Grado"
"053","2500127","Graduado o Graduada en Finanzas","Grado"
"053","2500128","Graduado o Graduada en Comunicación Publicitaria","Grado"
"053","2500129","Graduado o Graduada en Diseño","Grado"
"036","2500131","Graduado o Graduada en Información y Documentación","Grado"
"015","2500132","Graduado o Graduada en Periodismo","Grado"
"012","2500133","Graduado o Graduada en Farmacia","Grado"
"052","2500136","Graduado o Graduada en Comunicación Audiovisual","Grado"
"065","2500137","Graduado o Graduada en Desarrollo, Gestión Comerci","Grado"
"066","2500138","Graduado o Graduada en Enfermería","Grado"
"066","2500138","Graduado o Graduada en Enfermería por la Universid","Grado"
"073","2500139","Graduado o Graduada en Periodismo","Grado"
"021","2500140","Graduado o Graduada en Información y Documentación","Grado"
"053","2500141","Graduado o Graduada en Traducción y Comunicación I","Grado"
"053","2500141","Graduado o Graduada en Traducción y Comunicación I","Grado"
"053","2500142","Graduado o Graduada en Fisioterapia por la Univers","Grado"
"053","2500142","Graduado o Graduada en Fisioterapia","Grado"
"060","2500143","Graduado o Graduada en Ciencias de la Actividad Fí","Grado"
"041","2500144","Graduado o Graduada en Diseño","Grado"
"041","2500145","Graduado o Graduada en Ingeniería Multimedia","Grado"
"033","2500146","Graduado o Graduada en Educación Primaria por la U","Grado"
"033","2500146","Graduado o Graduada en Educación Primaria","Grado"
"052","2500147","Graduado o Graduada en Ingeniería Informática","Grado"
"022","2500149","Graduado o Graduada en Matemáticas","Grado"
"052","2500150","Graduado o Graduada en Lenguas Aplicadas a la Comu","Grado"
"066","2500151","Graduado o Graduada en Ciencia y Tecnología de los","Grado"
"052","2500153","Graduado o Graduada en Turismo por la Universidad ","Grado"
"052","2500153","Graduado o Graduada en Turismo","Grado"
"036","2500155","Graduado o Graduada en Finanzas y Contabilidad","Grado"
"066","2500156","Graduado o Graduada en Periodismo","Grado"
"047","2500158","Graduado o Graduada en Ingeniería Informática","Grado"
"036","2500159","Graduado o Graduada en Ingeniería Telemática","Grado"
"036","2500159","Graduado o Graduada en Ingeniería Telemática por l","Grado"
"072","2500161","Graduado o Graduada en Fisioterapia","Grado"
"072","2500161","Graduado o Graduada en Fisioterapia por la Univers","Grado"
"014","2500163","Graduado o Graduada en Información y Documentación","Grado"
"021","2500164","Graduado o Graduada en Bellas Artes","Grado"
"021","2500165","Graduado o Graduada en Psicología por la Universid","Grado"
"021","2500165","Graduado o Graduada en Psicología","Grado"
"021","2500166","Graduado o Graduada en Ingeniería en Diseño Indust","Grado"
"053","2500168","Graduado o Graduada en Ingeniería de Edificación","Grado"
"053","2500168","Graduado o Graduada en Ingeniería de la Edificació","Grado"
"056","2500170","Graduado o Graduada en Comunicación Audiovisual","Grado"
"057","2500171","Graduado o Graduada en Arquitectura","Grado"
"007","2500172","Graduado o Graduada en Matemáticas","Grado"
"022","2500173","Graduado o Graduada en Humanidades","Grado"
"044","2500174","Graduado o Graduada en Geografía y Ordenación del ","Grado"
"060","2500175","Graduado o Graduada en Traducción e Interpretación","Grado"
"060","2500175","Graduado o Graduada en Traducción e Interpretación","Grado"
"054","2500176","Graduado o Graduada en Humanidades","Grado"
"039","2500177","Graduado o Graduada en Traducción e Interpretación","Grado"
"022","2500178","Graduado o Graduada en Medicina por la Universidad","Grado"
"022","2500178","Graduado o Graduada en Medicina","Grado"
"039","2500178","Graduado o Graduada en Medicina por la Universidad","Grado"
"039","2500178","Graduado o Graduada en Medicina","Grado"
"041","2500179","Graduado o Graduada en Derecho por la Universidad ","Grado"
"041","2500180","Graduado o Graduada en Publicidad y Relaciones Púb","Grado"
"053","2500181","Graduado o Graduada en Enfermería","Grado"
"068","2500182","Graduado o Graduada en Bellas Artes","Grado"
"073","2500183","Graduado o Graduada en Comunicación Audiovisual","Grado"
"036","2500184","Graduado o Graduada en Ingeniería de Sistemas Audi","Grado"
"052","2500185","Graduado o Graduada en Publicidad y Relaciones Púb","Grado"
"052","2500185","Graduado o Graduada en Publicidad","Grado"
"065","2500186","Graduado o Graduada en Dirección Financiera y Cont","Grado"
